Vetenskapligt namn;Svenskt/populärvetenskapligt namn;Source;Samlat riskutfall (5=högst);included;Group:Envrironment;group:Taxonomy;Group:Salinity;Group:HabitatAdult;gbif occurence;useful points;comments;
Arcuatula senhousia;date mussel;HAV-list Dörrknackare;4;Y;zoobenthos;Marine invertebrate;marine;benthic;2102;662;good;
Austrominius modestus;barnacle;HAV-list Dörrknackare;1;Y;zoobenthos;Marine invertebrate;marine;benthic;7233;2881;good;
Bugula neritina;moss anomal;HAV-list Dörrknackare;2;Y;zoobenthos;Marine invertebrate;marine;benthic;1989;1235;good;
Cancer irroratus;Atlantic rock crab;HAV-list Dörrknackare;5;Y;zoobenthos;Marine invertebrate;marine;benthic;1802;877;only 1 occurrence in Europé;
Chaetoceros seiracanthus; ;HAV-list Dörrknackare;unknown;Y;phytoplankton;Microalgae;marine;holo-pelagic;111;60;good;
Conchoderma auritum;rabbit-ear barnacle;HAV-list Dörrknackare;1;Y;zoobenthos;Marine invertebrate;marine;symbiotic/parasitic;280;31;few recs;
Cornigerius maeoticus;crustacean;HAV-list Dörrknackare;2;N;zooplankton;Marine invertebrate;marine;unknown;0;0;no data;
Dissodinium pseudocalani; ;HAV-list Dörrknackare;unknown;Y;phytoplankton;Dinoflagellate;marine;holo-pelagic;9;9;few recs;
Fibrocapsa japonica; ;HAV-list Dörrknackare;5;Y;phytoplankton;Microalgae;marine;holo-pelagic;257;150;good;
Ficopomatus enigmaticus;Australian tubeworm;HAV-list Dörrknackare;2;Y;zoobenthos;Marine invertebrate;marine;benthic;959;463;good;
Mytilopsis leucophaeata;Conrad's false musle;HAV-list Dörrknackare;4;Y;zoobenthos;Marine invertebrate;estuarine/freshwater;benthic;991;373;good;
Neogobius melanostomus;round goby ;Etablerad;5;Y;zoobenthos;Marine invertebrate;estuarine/freshwater;benthic;13330;12875;good;
Ocenebra inornata;Asian drill;HAV-list Dörrknackare;2;Y;zoobenthos;Marine invertebrate;marine;benthic;131;62;good;
Oncorhynchus keta;hundlax, Chum salmon;HAV-list Dörrknackare;1;N;zoobenthos;Fish;estuarine/freshwater;holo-pelagic;NA;NA;brackish, no european occurrences;
Palaemon macrodactylus;shrimp;HAV-list Dörrknackare;5;Y;zooplankton;Marine invertebrate;marine;holo-pelagic;669;211;good;
Penaeus japonicus;Kuruma prawn;HAV-list Dörrknackare;1;Y;zoobenthos;Marine invertebrate;marine;benthic;247;18;few recs;
Pontogammarus robustoides; ;HAV-list Dörrknackare;4;N;zoobenthos;Marine invertebrate;estuarine/freshwater;benthic;NA;NA;freshwater;
Rangia cuneata;Atlantic rangia;HAV-list Dörrknackare;2;Y;zoobenthos;Marine invertebrate;estuarine/freshwater;benthic;2620;1097;good;
Rapana venosa;Asian rapa whelk;HAV-list Dörrknackare;4;Y;zoobenthos;Marine invertebrate;estuarine/freshwater;benthic;923;124;good;
Rhithropanopeus harrisii;vitfingrad brackvattenskrabba;HAV-list Dörrknackare;2;Y;zoobenthos;Marine invertebrate;estuarine/freshwater;benthic;1408;820;good;
Romanogobio belingi;vitfenad sandkrypare;HAV-list Dörrknackare;1;N;zoobenthos;Fish;estuarine/freshwater;;NA;NA;freshwater;
Ruditapes philippinarum;Japanese carpet shell;HAV-list Dörrknackare;2;Y;zoobenthos;Marine invertebrate;marine;benthic;5178;1700;good;
Undaria pinnatifida;Wakame wheat;HAV-list Dörrknackare;2;Y;phytobenthos;Brown algae;marine;benthic;2225;;good;
Urosalpinx cinerea; ;HAV-list Dörrknackare;2;Y;zoobenthos;Marine invertebrate;marine;benthic;1635;419;good;
Alexandrium ostenfeldii;;HAV-list Dörrknackare;unknown;Y;phytoplankton;Dinoflagellate;marine;holo-pelagic;461;390;good;
Admete viridula;northern admete;OSPAR enlisted;;Y;zoobenthos;Marine invertebrate;marine;benthic;1132;245;;
Amphibalanus eburneus;barnacle;OSPAR enlisted;;Y;zoobenthos;Marine invertebrate;marine;benthic;225;127;;
Hydroides dianthus;limy tubeworm;OSPAR enlisted;;Y;zoobenthos;Marine invertebrate;marine;benthic;461;83;;
Acipenser gueldenstaedtii ;Azov-Black sea sturgeon;OSPAR enlisted;;Y;zoobenthos;Fish;estuarine/freshwater;benthic;139;58;;
Asterias amurensis;Japanese common starfish;OSPAR enlisted;;Y;zoobenthos;Marine invertebrate;marine;benthic;658;166;;
Styela clava;;OSPAR enlisted;;Y;zoobenthos;Marine invertebrate;marine;benthic;3037;2032;;
Alexandrium tamarense;;AquaNIS listed;;Y;phytoplankton;Dinoflagellate;marine;holo-pelagic;1712;1140;;
Thalassiosira punctigera;;AquaNIS listed;;Y;phytoplankton;Bacillariophyceae;marine;holo-pelagic;1165;145;;
Cercopagis pengoi;;AquaNIS listed;;;zooplankton;Marine invertebrate;marine;holo-pelagic;0;0;no data;
Eriocheir sinensis;;;1;;other;new;estuarine/freshwater;NA;;;;
Fucus evanescens;;;1;;other;new;estuarine/freshwater;NA;;;;
Hemigrapsus sanguineus;;;1;;other;new;estuarine/freshwater;NA;;;;
Hemigrapsus takanoi;;;1;;other;new;estuarine/freshwater;NA;;;;
Marenzelleria viridis;;;1;;other;new;estuarine/freshwater;NA;;;;
Sargassum muticum;;;1;;other;new;estuarine/freshwater;NA;;;;
